word,year_quarter,n,total,tf,idf,tf_idf
коронавирусқ_noun,2020_Q_3,20,3587,0.025412960609911054,1.7047480922384253,0.04332269611787612
соңға_noun,2020_Q_3,16,3587,0.020330368487928845,2.1102132003465894,0.04290141195113778
желісінда_noun,2020_Q_3,12,3587,0.015247776365946633,2.803360380906535,0.042745012161217816
болда_noun,2020_Q_3,17,3587,0.021601016518424398,1.8870696490323797,0.04076262266016577
айтт_noun,2020_Q_3,18,3587,0.022871664548919948,1.7047480922384253,0.038990426506088506
мүмкін_noun,2020_Q_3,17,3587,0.021601016518424398,1.7047480922384253,0.0368242917001947
оть_noun,2020_Q_3,19,3587,0.0241423125794155,1.4170660197866443,0.034211250795357355
деп_noun,2020_Q_3,28,3587,0.035578144853875476,0.8574502318512216,0.030506488553791875
бар_noun,2020_Q_3,16,3587,0.020330368487928845,1.4170660197866443,0.028809474353985145
коронавирусный_adj,2020_Q_4,82,4325,0.05384110308601445,1.4170660197866443,0.0762963976510209
заболевший_noun,2020_Q_4,44,4325,0.028890347997373604,1.7047480922384253,0.04925076563262686
тыйый_adj,2020_Q_4,21,4325,0.013788575180564675,2.803360380906535,0.03865434537034618
пандемия_noun,2020_Q_4,41,4325,0.026920551543007223,1.4170660197866443,0.03814819882551045
салынған_noun,2020_Q_4,12,4325,0.007879185817465528,3.4965075614664802,0.02754963278896767
коронавирус_noun,2020_Q_4,60,4325,0.03939592908732764,0.6632942174102642,0.02613109195312925
выявить_verb,2020_Q_4,110,4325,0.07222586999343401,0.3610133455373305,0.026074502960673904
д_noun,2020_Q_4,11,4325,0.007222586999343401,3.4965075614664802,0.025253830056553697
пневмония_noun,2020_Q_4,57,4325,0.03742613263296126,0.6632942174102642,0.02482453735547279
положительный_adj,2020_Q_4,44,4325,0.028890347997373604,0.8574502318512216,0.024772035588610474
статистика_noun,2020_Q_4,34,4325,0.02232435981615233,1.0986122886681098,0.024525816030673497
жағдай_noun,2020_Q_4,19,4325,0.01247537754432042,1.8870696490323797,0.023541906324107166
