word,year_month,n,total,tf,idf,tf_idf
больница_noun,2018-02,97,9747,0.009951780034882528,0.6931471805599453,0.006898048272731578
ребенок_noun,2018-02,101,9747,0.010362162716733354,0.4818380868927384,0.00499288465950206
операция_noun,2018-02,98,9747,0.010054375705345234,0.32090772008010127,0.003226526784431099
отделение_noun,2018-02,43,9747,0.004411613829896378,0.712949807856125,0.0031452592323600466
больница_noun,2018-03,162,11888,0.013627187079407806,0.6931471805599453,0.009445646303054436
врач_noun,2018-03,171,11888,0.014384253028263795,0.5645298027378517,0.008120339524577106
девочка_noun,2018-03,141,11888,0.011860699865410497,0.6737290947028437,0.007990898582865155
ребенок_noun,2018-03,171,11888,0.014384253028263795,0.4818380868927384,0.006930880960519706
детский_adj,2018-03,71,11888,0.005972409152086138,0.7331525151736445,0.004378686791498046
врач_noun,2018-04,106,7473,0.014184397163120567,0.5645298027378517,0.008007514932451797
ребенок_noun,2018-04,94,7473,0.012578616352201259,0.4818380868927384,0.00606085643890237
помощь_noun,2018-04,46,7473,0.00615549310852402,0.6546808997321493,0.00402988376658355
больница_noun,2018-04,43,7473,0.005754047905794192,0.6931471805599453,0.003988402082708102
операция_noun,2018-04,86,7473,0.011508095811588384,0.32090772008010127,0.003693036789360191
менингококковый_adj,2018-05,120,11780,0.010186757215619695,1.6805338341178306,0.017119190160792844
ребенок_noun,2018-05,223,11780,0.018930390492359932,0.4818380868927384,0.009121383138971194
врач_noun,2018-05,151,11780,0.012818336162988116,0.5645298027378517,0.007236332785519151
больница_noun,2018-05,115,11780,0.009762308998302207,0.6931471805599453,0.0067667169579281585
инфекция_noun,2018-05,163,11780,0.013837011884550086,0.4353180712578455,0.006023501325554229
менингококковый_adj,2018-06,144,20607,0.006987916727325666,1.6805338341178306,0.011743430490268724
больница_noun,2018-06,296,20607,0.014364051050613868,0.6931471805599453,0.009956401487152123
менингит_noun,2018-06,119,20607,0.005774736739942738,1.292768303109067,0.00746539661619736
врач_noun,2018-06,233,20607,0.01130683748240889,0.5645298027378517,0.006383046733533238
ребенок_noun,2018-06,239,20607,0.011598000679380794,0.4818380868927384,0.005588358459133522
больница_noun,2018-07,98,8028,0.012207274539113104,0.6931471805599453,0.008461437929107453
врач_noun,2018-07,101,8028,0.012580966616841056,0.5645298027378517,0.007102330602456779
ребенок_noun,2018-07,99,8028,0.01233183856502242,0.4818380868927384,0.005941949502040495
объездный_adj,2018-07,11,8028,0.0013702042850024913,3.9318256327243257,0.005387404329841502
центр_noun,2018-07,78,8028,0.009715994020926755,0.5474353693785516,0.005318878775725838
сердце_noun,2018-08,125,10405,0.012013455069678039,0.6359887667199967,0.007640422473810628
врач_noun,2018-08,94,10405,0.009034118212397886,0.5645298027378517,0.005100028972355412
больница_noun,2018-08,71,10405,0.006823642479577127,0.6931471805599453,0.00472978854586796
медицинский_adj,2018-08,74,10405,0.0071119654012494,0.6176396280518002,0.0043926316651449505
центр_noun,2018-08,80,10405,0.0076886112445939455,0.5474353693785516,0.004209017736692372
врач_noun,2018-09,173,12497,0.01384332239737537,0.5645298027378517,0.007814968062226802
больница_noun,2018-09,111,12497,0.008882131711610787,0.6931471805599453,0.006156624553265098
медицинский_adj,2018-09,84,12497,0.006721613187164919,0.6176396280518002,0.004151534668828616
менингит_noun,2018-09,39,12497,0.003120748979755141,1.292768303109067,0.004034405362987406
ребенок_noun,2018-09,101,12497,0.008081939665519724,0.4818380868927384,0.003894186346816562
больница_noun,2018-10,175,14146,0.012370988265233989,0.6931471805599453,0.008574915636787108
врач_noun,2018-10,202,14146,0.014279655026155804,0.5645298027378517,0.008061290835080307
помощь_noun,2018-10,134,14146,0.009472642443093454,0.6546808997321493,0.006201558077485367
ребенок_noun,2018-10,155,14146,0.010957161034921533,0.4818380868927384,0.005279577510842248
менингит_noun,2018-10,55,14146,0.0038880248833592537,1.292768303109067,0.005026315330906171
врач_noun,2018-11,222,15141,0.014662175549831583,0.5645298027378517,0.008277235070854176
больница_noun,2018-11,152,15141,0.010038967043127931,0.6931471805599453,0.006958481701678336
медицинский_adj,2018-11,169,15141,0.011161746251898818,0.6176396280518002,0.00689393680343136
помощь_noun,2018-11,122,15141,0.008057591968826366,0.6546808997321493,0.005275151559825785
ребенок_noun,2018-11,153,15141,0.010105012878937983,0.4818380868927384,0.004868980073613961
врач_noun,2018-12,235,15260,0.015399737876802096,0.5645298027378517,0.00869361098580571
центр_noun,2018-12,141,15260,0.009239842726081257,0.5474353693785516,0.005058216715752017
больница_noun,2018-12,98,15260,0.006422018348623854,0.6931471805599453,0.00445140391185286
помощь_noun,2018-12,99,15260,0.006487549148099607,0.6546808997321493,0.004247274513334389
ребенок_noun,2018-12,132,15260,0.008650065530799476,0.4818380868927384,0.004167931026857239
больница_noun,2019-01,218,24939,0.008741328842375396,0.6931471805599453,0.006059027441439837
врач_noun,2019-01,264,24939,0.010585829423794057,0.5645298027378517,0.005976016196431005
ребенок_noun,2019-01,291,24939,0.011668471069409358,0.4818380868927384,0.00562231377704747
операция_noun,2019-01,400,24939,0.016039135490597056,0.32090772008010127,0.005147082402343337
гибридный_adj,2019-01,47,24939,0.0018845984201451543,2.6790626642289577,0.005048957264475761
ребенок_noun,2019-02,151,9132,0.016535260621988613,0.4818380868927384,0.007967318344371824
